Content,Date,Jour,Mois,Année,Utilisateur,Thème,Score,Compound,Sentiment,Mentions principales
Vélo à l'énergie hydrogène présenté par une entreprise chinoise. La transition énergétique est un processus à multiples voies. Quelle technologie va enfin gagner la course?,2023-04-02,2,4,2023,Zhu Jing 朱京,,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6249}",0.6249,Positif,"['énergie', 'entreprise']"
De bunkers sur quoi ?! Sur le fait qu’une mine de lithium c’est un désastre écologique et humain ?! Que les besoins en métaux pour la soit disant transition énergétique sont juste délirants et soit impossibles sont dramatiques si ils ont lieu… ?,2023-04-03,3,4,2023,Larco,,"{'neg': 0.131, 'neu': 0.694, 'pos': 0.175, 'compound': -0.4449}",-0.4449,Negatif,"['écologique', 'besoin']"
"Transition énergétique,  la charrue avant les bœufs !",2023-04-03,3,4,2023,zertal salim,,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4926}",0.4926,Positif,[]
"La meuf est ministre de la transition énergétique. Un tout petit sujet. 
Vous vouledz savoir pourquoi vous ne voyez plus l'apôtre de la magie-hun?
disclose.ngo/fr/article/petr…",2023-04-03,3,4,2023,juni🐢💧🔻φreeJulianAssange,,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4404}",0.4404,Positif,['ministre']
"""La transition énergétique ne sera pas pour la France un long fleuve tranquille: et voilà pourquoi""
""En conclusion #éolien et solaire ne peuvent pas être des sources d’électricité autonomes ; elles ne peuvent pas fournir une puissance électrique garantie""
atlantico.fr/article/decrypt…",2023-04-03,3,4,2023,Sauvegarde Paysages d'Iroise,,"{'neg': 0.046, 'neu': 0.818, 'pos': 0.136, 'compound': 0.4523}",0.4523,Positif,"['électrique', 'éolien', 'solaire', 'électricité']"
Mariage pour tous mais aussi Etat d'urgence et terrorisme - non cumul des mandats - prime d'activité- transition énergétique - transparence de la vie publique - loi santé- accord sur le climat - et puis malheureusement la loi travail.,2023-04-03,3,4,2023,Vousetmoi4,,"{'neg': 0.173, 'neu': 0.661, 'pos': 0.165, 'compound': -0.34}",-0.34,Negatif,"['climat', 'santé']"
Il serait beaucoup plus intelligent de continuer à se développer pour financer la transition énergétique en Afrique (1.4 Md d’habitants) que de se mettre nous-mêmes dans un régime de décroissance,2023-04-03,3,4,2023,HugoMe,,"{'neg': 0.053, 'neu': 0.858, 'pos': 0.089, 'compound': 0.3548}",0.3548,Positif,['financer']
"L'avantage des annonces de réduction de production de pétrole de 🇸🇦 ,🇷🇺🇦🇪etc , ça accélère la transition énergétique, solaire et hydrogène etc...
medias24.com/2023/04/03/taqa…",2023-04-03,3,4,2023,midou casa,,"{'neg': 0.07, 'neu': 0.737, 'pos': 0.193, 'compound': 0.5862}",0.5862,Positif,"['pétrole', 'production', 'solaire']"
"Honnêtement si c'est écrit sur leur site c'est qu'on peut les croire. D'ailleurs c'est aussi écrit sur le site de total qu'ils sont engagés dans la transition énergétique.
En attendant dans le rapport de la miviludes 2021  :",2023-04-03,3,4,2023,Plouf,,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.8883}",0.8883,Positif,[]
"La ministre de la Transition énergétique Agnès Pannier-Runacher a présenté lundi 3 avril 2023 aux entreprises de nouvelles mesures de sobriété énergétique. Détails ⤵️
actu.fr/planete/energies/110…",2023-04-03,3,4,2023,actu.fr,,"{'neg': 0.041, 'neu': 0.759, 'pos': 0.2, 'compound': 0.7088}",0.7088,Positif,"['ministre', 'entreprise', 'plan']"
"🆕#44: Comment aider les entreprises🇫🇷 vers la transition écologique avec @Anne__Guerin, responsable du plan climat @Bpifrance 

 + ne loupez pas la journée organisée par @Bpifrance sur les enjeux de transition énergétique & écologique pour les entreprises bpifrance.fr/nos-evenements/…",2023-04-03,3,4,2023,Le Climat en Questions,,"{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.8221}",0.8221,Positif,"['climat', 'france', 'entreprise', 'plan', 'écologique']"
"Bloomberg NEF qui classe Shell, Total, Repsol, etc. parmi les sociétés les mieux notées en matière de transition énergétique bas carbone 🤡 #greenwashing",2023-04-03,3,4,2023,Apollodore,,"{'neg': 0.076, 'neu': 0.683, 'pos': 0.241, 'compound': 0.5983}",0.5983,Positif,['matière']
Tout est possible avec le pognon de l'étatisme. Il faut une transition énergétique maintenant! 😊,2023-04-03,3,4,2023,Libertarian Friend,,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8221}",0.8221,Positif,[]
"La même réthorique que les zadistes. Contre tout, y compris ce qui permet d’assurer la transition énergétique.",2023-04-03,3,4,2023,Naboléon 🇫🇷🇪🇺 Хуй войне!,,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,Positif,[]
"Autant que la votre de parler de transition énergétique avec les membres du board d’EE qui roulent en gros suv, quand l’écologie devient un business ….",2023-04-03,3,4,2023,medethic,,"{'neg': 0.053, 'neu': 0.845, 'pos': 0.102, 'compound': 0.4003}",0.4003,Positif,[]
Vous souhaitez être acteur de la transition énergétique et relever les défis du numérique? #Capacitéd'adaptation #Analyseespritdesynthèse #Sensdesresponsabilités myjob.company/fr/offres-empl… via @MyJobCompany,2023-04-03,3,4,2023,steeve603,,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.5423}",0.5423,Positif,[]
"L'histoire retiendra que vs avez imprimé une nouvelle dynamique au sein de ce Ministère,sous la vision éclairée du #PR05 @fatshi13 ,jusqu'à placer la RDC au coeur des enjeux dla #Transition_énergétique pour qu'elle joue le rôle de catalyseur dans ce processus.

Force à Vous #Exc",2023-04-03,3,4,2023,Moise Mbuluku,,"{'neg': 0.054, 'neu': 0.761, 'pos': 0.185, 'compound': 0.8309}",0.8309,Positif,[]
"L'histoire retiendra que vs avez imprimé une nouvelle dynamique au sein de ce Ministère,sous la vision éclairée du #PR05 @fatshi13 ,jusqu'à placer la RDC au coeur des enjeux dla #Transition_énergétique pour qu'elle joue le rôle de catalyseur dans ce processus.

Force à Vous #Exc",2023-04-03,3,4,2023,Moise Mbuluku,,"{'neg': 0.054, 'neu': 0.761, 'pos': 0.185, 'compound': 0.8309}",0.8309,Positif,[]
"Si @TransvillesInfo optait pour un bus d'occasion, celui-ci aurait droit au rétrofit bioGNV, électrique ou hydrogène pour une transition énergétique moins chère.",2023-04-03,3,4,2023,Le Ferroviphile,,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.6378}",0.6378,Positif,['électrique']
"1/2 Comment l’Allemagne compte réussir sa transition énergétique sans le nucléaire

De 5 à 8 millions de postes, selon différentes études, seront vacants d’ici 2030 sur le marché allemand du travail. Il manque déjà 190.000 personnels dans le domaine lesoir.be/archive/d-20230403…",2023-04-03,3,4,2023,Umberto GAMBINI 🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺🇮🇹🇪🇺,,"{'neg': 0.028, 'neu': 0.808, 'pos': 0.164, 'compound': 0.795}",0.795,Positif,"['nucléaire', 'allemand']"
"Bougeons plus rapidement!

Pour assurer sa transition énergétique, le Japon va massivement investir dans l’hydrogène courrierinternational.com/ar…",2023-04-04,4,4,2023,classerichelieu,,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.5983}",0.5983,Positif,[]
"Ça fait des siècles que la roue n’a pas tourné. Le monde arabe ne peut se mettre qu’à la remorque d’une superpuissance. Lorsque la transition énergétique sera achevée, vous aurez la paix mais plus une tune. Je ne sais pas si ce sera mieux.",2023-04-04,4,4,2023,Benoit 🇫🇷🇺🇦🐟,,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.8271}",0.8271,Positif,['monde']
"ça continue à prendre du galon...et maintenant ""la transition énergétique dans les quartiers de racailles""",2023-04-04,4,4,2023,le miroir du Nord,,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4784}",0.4784,Positif,[]
Cette fameuse transition énergétique n'est qu'un moyen technique pour que Davos arrive à ses fins. Covid 19 ou transition énergétique c'est le même scénario. Casser le pays et son peuple.,2023-04-04,4,4,2023,Mere Tapdur,,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.7263}",0.7263,Positif,[]
"TUL / Groupe RATP (Laon)

🌿Après la réception de 4 HeuliezBus GX337 GNV entre 2019 et 2021, le réseau laonnois TUL continue sa transition énergétique avec l'arrivée de deux IvecoBus UW12GNV Cursor 9, dont le 78 en service sur la ligne 3. 🌿",2023-04-04,4,4,2023,Claude-Henry & ses périples,,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.8156}",0.8156,Positif,[]
"Il faut pas faire attention à eux,  Ils veulent des trucs énergétiques verts , on installe des éoliennes, ils disent que ça dérange les animaux , faut tout détruire 

Il faut agir pour la transition énergétique sans faire attention à l'idéologie hystérique pseudo-écologiste",2023-04-04,4,4,2023,The Winter soldier,,"{'neg': 0.214, 'neu': 0.687, 'pos': 0.1, 'compound': -0.6868}",-0.6868,Negatif,"['éolien', 'vert']"
"Je lance un nouveau programme au sein de la filière des MCS. En plus d’encourager l’innovation, il permettra d’accélérer la réalisation de la transformation de minéraux et contribuera au développement des filières nécessaires à la transition énergétique.➡️ bit.ly/3KawnIu",2023-04-04,4,4,2023,Maité Blanchette Vézina,,"{'neg': 0.031, 'neu': 0.93, 'pos': 0.039, 'compound': 0.1511}",0.1511,Positif,"['développement', 'nouveau', 'accélérer']"
Montrer que l'Allemagne que certains ventent comme l'exemple à suivre pour la transition énergétique est en réalité plutôt un exemple de ce qu'il ne faut pas faire ?,2023-04-04,4,4,2023,Charlie Merland,,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.5574}",0.5574,Positif,[]
"Toute une journée pour aider les entrepreneuses et les #entrepreneurs à accélérer leur décarbonation. #JourE fut une magnifique boîte à outils et des solutions concrètes pour accélérer la transition énergétique et écologique des entreprises.
@Bpifrance #BanqueduClimat #CoqVert",2023-04-04,4,4,2023,Stéphane Ndour,,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.8481}",0.8481,Positif,"['france', 'entreprise', 'solution', 'écologique', 'accélérer']"
"Mon point ? Total est une entreprise parfaitement respectable, qui fournit un bien de toute première nécessité, dont nous ne pouvons pas nous passer (pour l’instant) et sans lequel on serait dans une m**** noire. 
Personne n’investit autant qu’eux dans la transition énergétique.",2023-04-04,4,4,2023,Watt The Duck est passé du côté obscur,,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.7712}",0.7712,Positif,['entreprise']
Totalenergie est une entreprise inutile dont la disparition ferait considérablement augmenter l'économie en vertu de la destruction créatrice Schumpeterienne et c'est un nain dans la transition énergétique (Total gonfle ses chiffres en y comptant le gaz fossile).,2023-04-04,4,4,2023,Redux,,"{'neg': 0.136, 'neu': 0.71, 'pos': 0.154, 'compound': -0.0276}",-0.0276,Neutre,"['entreprise', 'fossile', 'économie', 'vert']"
"#Climat : les budgets d’Ottawa et de Québec s’attaquent peu à la racine du problème. ""Au lieu d’envoyer un message clair qui indiquerait... qu’une réelle & profonde transition énergétique est enclenchée, les responsables nourrissent un peu l’ambiguïté..."" ici.radio-canada.ca/nouvelle…",2023-04-04,4,4,2023,Patrick Bonin,,"{'neg': 0.041, 'neu': 0.765, 'pos': 0.194, 'compound': 0.7808}",0.7808,Positif,[]
Transition énergétique mal pensée  : 120 milliards d’euros engagés n’ont pas réduit d’une seule tonne nos émissions de CO2 atlantico.fr/article/decrypt… via @atlantico_fr,2023-04-04,4,4,2023,MDOLIVIER,,"{'neg': 0.064, 'neu': 0.711, 'pos': 0.225, 'compound': 0.5991}",0.5991,Positif,[]
Du coup vous mélangez les politiques libérales de l'énergie avec ma volonté d'avoir une réelle transition énergétique.,2023-04-04,4,4,2023,Candide,,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.4404,Positif,"['énergie', 'politique']"
"Ta transition énergétique qui consiste a tout bétonner pour mettre en place des foret d'éolienne et panneau solaire éco+ qui foutron le camps a la moindre tempête ?  

Ses c'est politique libérale qui on conduit nos centrale a ce détériore.",2023-04-04,4,4,2023,Vox-Artifhistoire,,"{'neg': 0.059, 'neu': 0.881, 'pos': 0.059, 'compound': 0.0}",0.0,Neutre,"['éolien', 'politique', 'solaire']"
"Alice, il faut garder la possibilité de vivre sur la planète !
Le militants Extinction Rebellion ne font pas du terrorisme, ils exigent (comment peut-elle) que nous adoptions un modèle de transition énergétique… Surtout parce que nous ne pouvons pas utiliser ressources russes.",2023-04-04,4,4,2023,baiapersa,,"{'neg': 0.032, 'neu': 0.854, 'pos': 0.114, 'compound': 0.5935}",0.5935,Positif,['plan']
"L’Afrique doit utiliser son potentiel en ressources minérales pour stimuler son industrialisation (président de la BAD)
""Entre 20 et 90 % des réserves planétaires de 11 métaux nécessaires à la transition énergétique sont en Afrique.""
agenceecofin.com/metaux/0304…",2023-04-04,4,4,2023,John Dounga,,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.6884}",0.6884,Positif,['plan']
"Bitcoin est déjà écolo. Il permet la transition énergétique puisqu'il offre aux énergies renouvelables la possibilité de consommer l'énergie qui serait perdue sur place en y apportant un revenus permettant de développer le réseau. Et pas besoin qu'il soit reconnu, il marche.",2023-04-04,4,4,2023,Thomassoud,,"{'neg': 0.045, 'neu': 0.784, 'pos': 0.171, 'compound': 0.6597}",0.6597,Positif,"['énergie', 'renouvelable', 'besoin']"
La commercialisation de notre production de pétrole nous sert aujourd’hui à financer notre transition énergétique vers plus de renouvelables. Et c’est la mission de Jean. #ThatsMyJob : meet Jean 👇,2023-04-04,4,4,2023,TotalEnergies Marketing Cameroun,,"{'neg': 0.06, 'neu': 0.857, 'pos': 0.083, 'compound': 0.2023}",0.2023,Positif,"['pétrole', 'financer', 'renouvelable', 'production']"
"La transition énergétique et l'électrification et on ne produira pas assez d'hydrogène, de bio-gaz et carburants alternatifs pour maintenir la mondialisation de masse. Donc beaucoup de sobriété et de productions locales et un retour plus vers l'économie et les modes de vie du ...",2023-04-05,5,4,2023,Desseaux Joël,,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.4784}",0.4784,Positif,"['économie', 'production', 'mondial']"
"Des décennies que j'entends ce discours. Yorarien. Quant à la guerre en Ukraine, elle a scellé à jamais les ambitions russes, rappelé à tous la supériorité de l'Occident, ressuscité et renforcé l'OTAN, conduit à son réarmement et accéléré la transition énergétique.",2023-04-05,5,4,2023,Celsus,,"{'neg': 0.075, 'neu': 0.769, 'pos': 0.156, 'compound': 0.5411}",0.5411,Positif,[]
Ah oui et je précise que je ne suis pas riche. Je suis juste un indépendant qui investit le fruit de son travail dans la transition énergétique. Et si j’étais riche j’aurais une action encore plus forte pour accélérer la transition.,2023-04-05,5,4,2023,Kris ☀️⚡️🔋 🌎🌳♻️,,"{'neg': 0.058, 'neu': 0.72, 'pos': 0.222, 'compound': 0.8007}",0.8007,Positif,['accélérer']
"Vous pouvez arrêter avec votre transition énergétique svp ? Pour le moment ce ne profite qu’aux spéculateurs : éoliennes, photovoltaïque, voitures électriques ….",2023-04-05,5,4,2023,Nanny Cool,,"{'neg': 0.148, 'neu': 0.669, 'pos': 0.183, 'compound': 0.25}",0.25,Positif,"['électrique', 'éolien']"
"Macron et BlackRock face à une révolution en France ?

MACRON est un larbin de blackrock : privation des retraites, « vaccins », « transition énergétique et écologique » du capitalisme, demain la dette comme en Grèce ?  reseauinternational.net/macr…",2023-04-05,5,4,2023,Zenonus Maximus,,"{'neg': 0.1, 'neu': 0.836, 'pos': 0.064, 'compound': -0.2387}",-0.2387,Negatif,"['écologique', 'retraite']"
"Assurer l’autonomie politique de la majorité populaire dans les débats sur la transition énergétique Le premier ministre, François Legault, a annoncé un débat sur l’avenir énergétique du Québec. Déjà, le ministre de l’Économie, de l’Innovation et (...) pressegauche.org/Assurer-l-a…",2023-04-05,5,4,2023,Presse-toi à gauche,,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.891}",0.891,Positif,"['ministre', 'politique']"
"Comme pour les traitements covid et les vax, il devrait y avoir débat et non décréter un faux consensus. Pkoi les Youtube et consorts censurent ils les opinions dissidentes?
Le côté entropique du réchauffement n’est pas clair et la transition énergétique est un énorme business...",2023-04-05,5,4,2023,Fabio 🇨🇵,,"{'neg': 0.074, 'neu': 0.818, 'pos': 0.108, 'compound': 0.4071}",0.4071,Positif,[]
La Chine doit contrôler 95% des terres rares et achète l'Afrique. La transition énergétique sans la Chine sera quasiment impossible.⬇️,2023-04-05,5,4,2023,Herodote1789,,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4926}",0.4926,Positif,[]
"Avant d'aller tenir des propos incendiaires à l'encontre de la Chine à Pékin, il faudrait peut-être ne pas oublier que sans la Chine, il n'y a plus de transition énergétique en Europe... finito !",2023-04-05,5,4,2023,Kâplan,,"{'neg': 0.073, 'neu': 0.884, 'pos': 0.042, 'compound': -0.3054}",-0.3054,Negatif,[]
"C'est surtout pendant la visite de Macron et von der Leyen qui tiennent des propos incendiaires délirants à l'encontre de la Chine... le gouvernement chinois rappelle juste que sans eux, il n'y a plus de transition énergétique en Europe.",2023-04-05,5,4,2023,Kâplan,,"{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.3851}",-0.3851,Negatif,['gouvernement']
"L’opération doit encore obtenir l’aval des autorités compétentes pour pouvoir être finalisée, mais elle interroge sur la souveraineté industrielle sur la transition énergétique que vise théoriquement l’Union européenne. 
lenergeek.com/2023/03/23/dis…",2023-04-05,5,4,2023,Eric Sartori,,"{'neg': 0.068, 'neu': 0.632, 'pos': 0.3, 'compound': 0.7783}",0.7783,Positif,[]
"Qu’un spécialiste de la grande distribution souhaite revendre un actif énergétique, rien de bien étonnant.
Mais qu’aucun groupe européen ne souhaite récupérer une entreprise active dans une des industries phares de la transition énergétique, l’éolien offshore, c’est plus étonnant",2023-04-05,5,4,2023,Eric Sartori,,"{'neg': 0.141, 'neu': 0.58, 'pos': 0.279, 'compound': 0.7276}",0.7276,Positif,"['entreprise', 'éolien']"
« Les dix commandements de la transition énergétique » à vendre sur Amazon ! Pour vous servir…,2023-04-05,5,4,2023,Esthète,,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.5562}",0.5562,Positif,[]
"La ministre de la transition énergétique se masturbe dans les médias sur une baisse de la consommation qui n'a eu lieu qu'en raison du réchauffement climatique, tout en refusant de faire mieux que ""d'inviter les entreprises à faire mieux"".",2023-04-05,5,4,2023,Mc Malocrane - @Mouarf@masto.bike,,"{'neg': 0.085, 'neu': 0.704, 'pos': 0.211, 'compound': 0.6486}",0.6486,Positif,"['ministre', 'climat', 'entreprise', 'consommation']"
"L’Etat devrait supprimer ses subventions à ttes les assoces

D’abord on finance correctement éducation nationale, sécurité, justice, infrastructures, transition énergétique. Et s’il reste de l’argent on voit (il n’en restera pas)

Les assos sont être financées par leurs membres",2023-04-05,5,4,2023,kiko77,,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.7783}",0.7783,Positif,[]
"Nucléaire : ""Nous travaillons sur la possibilité de mettre en place des mécanismes moins dépendants du débit des rivières"", affirme la ministre de la Transition énergétique
#GrandFoutageDeGueule francetvinfo.fr/societe/nucl…",2023-04-05,5,4,2023,Titane 🇫🇷 N 🐿️🐭🐁🐗,,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.5434}",0.5434,Positif,"['ministre', 'france']"
"ECOLOGIE - Transition énergétique mal pensée : 120 milliards d’euros engagés n’ont pas réduit d’une seule tonne nos émissions de CO2 | Atlantico.fr
atlantico.fr/article/decrypt…",2023-04-05,5,4,2023,Philippe Raphael,,"{'neg': 0.061, 'neu': 0.722, 'pos': 0.217, 'compound': 0.6358}",0.6358,Positif,[]
"L’Etat devrait supprimer ses subventions à ttes les assoces

D’abord on finance correctement éducation nationale, sécurité, justice, infrastructures, transition énergétique. Et s’il reste de l’argent on voit (il n’en restera pas)

Les assos sont être financées par leurs membres",2023-04-05,5,4,2023,kiko77,,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.7783}",0.7783,Positif,[]
Une opportunité pour les pouvoirs publics et les acteurs économiques de dresser un bilan des mesures prises par le Maroc et échanger autour de la transition énergétique nationale,2023-04-06,6,4,2023,TAQA Morocco,,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.8442}",0.8442,Positif,['public']
"Et on oublie le principal, il n'y a pas assez d'uranium pour que le nucléaire répondent au besoin de la transition énergétique d'ici 2050 et comme on a pas l'exclusivité.
lejournal.cnrs.fr/articles/n…",2023-04-06,6,4,2023,Desseaux Joël,,"{'neg': 0.05, 'neu': 0.873, 'pos': 0.077, 'compound': 0.3164}",0.3164,Positif,"['nucléaire', 'besoin']"
