Date,Compound,Thème Écologique
2023-01-05,0.4019,Soutien et financement de projets écologiques
2023-01-05,0.0,Énergie et économie vers une société écologique
2023-01-06,0.3818,Soutien et financement de projets écologiques
2023-01-06,0.7156,Énergie et économie vers une société écologique
2023-01-06,0.0,Soutien et financement de projets écologiques
2023-01-06,0.6696,Soutien et financement de projets écologiques
2023-01-06,-0.1027,Soutien et financement de projets écologiques
2023-01-06,0.6792,Soutien et financement de projets écologiques
2023-01-06,-0.5707,Collectivités territoriales et développement durable
2023-01-06,0.4753,Soutien et financement de projets écologiques
2023-01-06,0.4767,Politiques environnementales et écologiques du gouvernement français
2023-01-06,-0.1431,Politiques environnementales et écologiques du gouvernement français
2023-01-06,0.8856,Soutien et financement de projets écologiques
2023-01-06,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-06,0.1027,Politiques environnementales et écologiques du gouvernement français
2023-01-06,0.2462,Agricultures et politiques environnementales
2023-01-07,-0.2124,Politiques environnementales et écologiques du gouvernement français
2023-01-07,0.0,Soutien et financement de projets écologiques
2023-01-07,0.1984,Politiques environnementales et écologiques du gouvernement français
2023-01-07,-0.0377,Soutien et financement de projets écologiques
2023-01-07,-0.1779,Soutien et financement de projets écologiques
2023-01-07,0.4588,Politiques environnementales et écologiques du gouvernement français
2023-01-07,-0.25,Énergie et économie vers une société écologique
2023-01-07,0.4389,Agricultures et politiques environnementales
2023-01-07,-0.0377,Politiques environnementales et écologiques du gouvernement français
2023-01-07,0.7351,Politiques environnementales et écologiques du gouvernement français
2023-01-07,-0.4019,Soutien et financement de projets écologiques
2023-01-07,0.4374,Collectivités territoriales et développement durable
2023-01-07,0.0,Énergie et économie vers une société écologique
2023-01-07,0.1027,Soutien et financement de projets écologiques
2023-01-08,-0.4199,Politiques environnementales et écologiques du gouvernement français
2023-01-08,-0.7326,Soutien et financement de projets écologiques
2023-01-08,-0.5541,Énergie et économie vers une société écologique
2023-01-08,-0.5472,Soutien et financement de projets écologiques
2023-01-08,-0.7074,Soutien et financement de projets écologiques
2023-01-08,-0.5083,Énergie et économie vers une société écologique
2023-01-08,0.5106,Énergie et économie vers une société écologique
2023-01-08,-0.7081,Politiques environnementales et écologiques du gouvernement français
2023-01-08,-0.3551,Politiques environnementales et écologiques du gouvernement français
2023-01-08,0.5399,Politiques environnementales et écologiques du gouvernement français
2023-01-08,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-08,-0.4019,Soutien et financement de projets écologiques
2023-01-08,0.0,Soutien et financement de projets écologiques
2023-01-08,0.6989,Soutien et financement de projets écologiques
2023-01-08,0.0,Soutien et financement de projets écologiques
2023-01-08,-0.4019,Soutien et financement de projets écologiques
2023-01-08,0.4819,Agricultures et politiques environnementales
2023-01-09,-0.1779,Agricultures et politiques environnementales
2023-01-09,0.0516,Énergie et économie vers une société écologique
2023-01-09,0.0526,Soutien et financement de projets écologiques
2023-01-09,0.2869,Politiques environnementales et écologiques du gouvernement français
2023-01-09,-0.5802,Politiques environnementales et écologiques du gouvernement français
2023-01-09,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-09,0.7353,Politiques environnementales et écologiques du gouvernement français
2023-01-09,-0.3151,Énergie et économie vers une société écologique
2023-01-09,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-09,0.6115,Énergie et économie vers une société écologique
2023-01-09,0.2466,Soutien et financement de projets écologiques
2023-01-09,0.6467,Politiques environnementales et écologiques du gouvernement français
2023-01-09,0.7424,Soutien et financement de projets écologiques
2023-01-09,0.1027,Énergie et économie vers une société écologique
2023-01-09,0.5106,Énergie et économie vers une société écologique
2023-01-09,-0.4199,Énergie et économie vers une société écologique
2023-01-10,0.8802,Collectivités territoriales et développement durable
2023-01-10,0.877,Agricultures et politiques environnementales
2023-01-10,-0.3565,Soutien et financement de projets écologiques
2023-01-10,0.2325,Politiques environnementales et écologiques du gouvernement français
2023-01-10,0.8114,Collectivités territoriales et développement durable
2023-01-10,0.6923,Politiques environnementales et écologiques du gouvernement français
2023-01-10,0.0,Collectivités territoriales et développement durable
2023-01-10,-0.1531,Agricultures et politiques environnementales
2023-01-10,-0.1124,Politiques environnementales et écologiques du gouvernement français
2023-01-10,-0.745,Soutien et financement de projets écologiques
2023-01-10,0.4588,Politiques environnementales et écologiques du gouvernement français
2023-01-10,0.0,Soutien et financement de projets écologiques
2023-01-11,0.0,Collectivités territoriales et développement durable
2023-01-11,-0.2714,Politiques environnementales et écologiques du gouvernement français
2023-01-11,0.0454,Politiques environnementales et écologiques du gouvernement français
2023-01-11,-0.5216,Politiques environnementales et écologiques du gouvernement français
2023-01-11,-0.1606,Politiques environnementales et écologiques du gouvernement français
2023-01-11,0.34,Soutien et financement de projets écologiques
2023-01-11,0.52,Politiques environnementales et écologiques du gouvernement français
2023-01-11,0.8011,Politiques environnementales et écologiques du gouvernement français
2023-01-11,-0.4404,Politiques environnementales et écologiques du gouvernement français
2023-01-11,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-11,0.0,Soutien et financement de projets écologiques
2023-01-11,0.555,Énergie et économie vers une société écologique
2023-01-11,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-11,0.296,Soutien et financement de projets écologiques
2023-01-12,0.6239,Politiques environnementales et écologiques du gouvernement français
2023-01-12,-0.0271,Agricultures et politiques environnementales
2023-01-12,0.3421,Politiques environnementales et écologiques du gouvernement français
2023-01-12,0.0,Collectivités territoriales et développement durable
2023-01-12,-0.0258,Soutien et financement de projets écologiques
2023-01-12,0.3182,Agricultures et politiques environnementales
2023-01-12,0.5837,Soutien et financement de projets écologiques
2023-01-12,-0.3182,Énergie et économie vers une société écologique
2023-01-12,0.7424,Politiques environnementales et écologiques du gouvernement français
2023-01-12,-0.1007,Politiques environnementales et écologiques du gouvernement français
2023-01-12,0.5093,Politiques environnementales et écologiques du gouvernement français
2023-01-12,0.8748,Énergie et économie vers une société écologique
2023-01-12,0.5423,Soutien et financement de projets écologiques
2023-01-13,0.0,Soutien et financement de projets écologiques
2023-01-13,-0.4767,Soutien et financement de projets écologiques
2023-01-13,0.7651,Politiques environnementales et écologiques du gouvernement français
2023-01-13,-0.1027,Politiques environnementales et écologiques du gouvernement français
2023-01-13,0.508,Politiques environnementales et écologiques du gouvernement français
2023-01-13,0.0,Énergie et économie vers une société écologique
2023-01-13,0.7508,Soutien et financement de projets écologiques
2023-01-13,-0.4019,Soutien et financement de projets écologiques
2023-01-13,0.658,Soutien et financement de projets écologiques
2023-01-13,0.5106,Agricultures et politiques environnementales
2023-01-13,0.1027,Soutien et financement de projets écologiques
2023-01-13,0.5859,Soutien et financement de projets écologiques
2023-01-14,-0.1877,Politiques environnementales et écologiques du gouvernement français
2023-01-14,-0.0464,Soutien et financement de projets écologiques
2023-01-14,-0.0377,Politiques environnementales et écologiques du gouvernement français
2023-01-14,0.5837,Collectivités territoriales et développement durable
2023-01-14,-0.3182,Politiques environnementales et écologiques du gouvernement français
2023-01-14,-0.807,Politiques environnementales et écologiques du gouvernement français
2023-01-14,-0.0271,Politiques environnementales et écologiques du gouvernement français
2023-01-14,0.3071,Politiques environnementales et écologiques du gouvernement français
2023-01-14,0.2444,Soutien et financement de projets écologiques
2023-01-14,-0.3595,Soutien et financement de projets écologiques
2023-01-14,-0.3595,Soutien et financement de projets écologiques
2023-01-14,0.3818,Politiques environnementales et écologiques du gouvernement français
2023-01-14,0.4784,Politiques environnementales et écologiques du gouvernement français
2023-01-14,0.0,Soutien et financement de projets écologiques
2023-01-15,0.5399,Soutien et financement de projets écologiques
2023-01-15,0.0,Collectivités territoriales et développement durable
2023-01-15,0.0,Collectivités territoriales et développement durable
2023-01-15,0.0,Collectivités territoriales et développement durable
2023-01-15,0.1027,Soutien et financement de projets écologiques
2023-01-15,0.3818,Soutien et financement de projets écologiques
2023-01-15,0.3632,Politiques environnementales et écologiques du gouvernement français
2023-01-15,-0.7122,Politiques environnementales et écologiques du gouvernement français
2023-01-15,0.3818,Soutien et financement de projets écologiques
2023-01-15,0.1586,Énergie et économie vers une société écologique
2023-01-16,0.2263,Énergie et économie vers une société écologique
2023-01-16,0.1551,Politiques environnementales et écologiques du gouvernement français
2023-01-16,0.4753,Politiques environnementales et écologiques du gouvernement français
2023-01-16,-0.4184,Agricultures et politiques environnementales
2023-01-16,0.5374,Collectivités territoriales et développement durable
2023-01-16,0.2263,Politiques environnementales et écologiques du gouvernement français
2023-01-16,-0.5828,Politiques environnementales et écologiques du gouvernement français
2023-01-16,0.7399,Politiques environnementales et écologiques du gouvernement français
2023-01-16,0.3612,Politiques environnementales et écologiques du gouvernement français
2023-01-16,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-16,0.4329,Politiques environnementales et écologiques du gouvernement français
2023-01-16,-0.4767,Politiques environnementales et écologiques du gouvernement français
2023-01-16,0.4753,Politiques environnementales et écologiques du gouvernement français
2023-01-17,-0.129,Agricultures et politiques environnementales
2023-01-17,0.2714,Politiques environnementales et écologiques du gouvernement français
2023-01-17,0.4993,Soutien et financement de projets écologiques
2023-01-17,0.8264,Politiques environnementales et écologiques du gouvernement français
2023-01-17,0.2944,Politiques environnementales et écologiques du gouvernement français
2023-01-17,0.0,Soutien et financement de projets écologiques
2023-01-17,0.5106,Soutien et financement de projets écologiques
2023-01-17,-0.3802,Collectivités territoriales et développement durable
2023-01-17,0.34,Politiques environnementales et écologiques du gouvernement français
2023-01-17,0.0516,Soutien et financement de projets écologiques
2023-01-17,0.4753,Politiques environnementales et écologiques du gouvernement français
2023-01-18,0.0,Soutien et financement de projets écologiques
2023-01-18,0.8392,Collectivités territoriales et développement durable
2023-01-18,0.2942,Soutien et financement de projets écologiques
2023-01-18,-0.3971,Collectivités territoriales et développement durable
2023-01-18,0.3806,Agricultures et politiques environnementales
2023-01-18,0.0772,Collectivités territoriales et développement durable
2023-01-18,0.5255,Soutien et financement de projets écologiques
2023-01-18,0.0,Collectivités territoriales et développement durable
2023-01-18,-0.0271,Soutien et financement de projets écologiques
2023-01-19,0.3182,Politiques environnementales et écologiques du gouvernement français
2023-01-19,-0.2942,Soutien et financement de projets écologiques
2023-01-19,-0.5859,Collectivités territoriales et développement durable
2023-01-19,0.3182,Soutien et financement de projets écologiques
2023-01-19,0.7177,Politiques environnementales et écologiques du gouvernement français
2023-01-19,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-19,0.126,Politiques environnementales et écologiques du gouvernement français
2023-01-19,-0.5761,Politiques environnementales et écologiques du gouvernement français
2023-01-19,0.0,Énergie et économie vers une société écologique
2023-01-20,-0.0271,Soutien et financement de projets écologiques
2023-01-20,0.3164,Politiques environnementales et écologiques du gouvernement français
2023-01-20,-0.0752,Agricultures et politiques environnementales
2023-01-20,-0.0271,Soutien et financement de projets écologiques
2023-01-20,-0.128,Soutien et financement de projets écologiques
2023-01-20,0.2714,Agricultures et politiques environnementales
2023-01-20,0.7263,Politiques environnementales et écologiques du gouvernement français
2023-01-20,0.4199,Soutien et financement de projets écologiques
2023-01-20,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-20,-0.0679,Soutien et financement de projets écologiques
2023-01-20,0.9124,Politiques environnementales et écologiques du gouvernement français
2023-01-20,0.6615,Agricultures et politiques environnementales
2023-01-20,-0.6369,Politiques environnementales et écologiques du gouvernement français
2023-01-20,-0.0377,Politiques environnementales et écologiques du gouvernement français
2023-01-21,-0.296,Énergie et économie vers une société écologique
2023-01-21,-0.4574,Politiques environnementales et écologiques du gouvernement français
2023-01-21,-0.5365,Politiques environnementales et écologiques du gouvernement français
2023-01-21,-0.6239,Politiques environnementales et écologiques du gouvernement français
2023-01-21,0.7088,Politiques environnementales et écologiques du gouvernement français
2023-01-21,-0.3802,Soutien et financement de projets écologiques
2023-01-21,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-21,-0.6591,Politiques environnementales et écologiques du gouvernement français
2023-01-21,-0.5994,Politiques environnementales et écologiques du gouvernement français
2023-01-21,-0.4019,Soutien et financement de projets écologiques
2023-01-21,-0.3612,Politiques environnementales et écologiques du gouvernement français
2023-01-21,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-21,0.0,Soutien et financement de projets écologiques
2023-01-22,-0.5252,Soutien et financement de projets écologiques
2023-01-22,-0.4767,Politiques environnementales et écologiques du gouvernement français
2023-01-22,0.7564,Politiques environnementales et écologiques du gouvernement français
2023-01-22,-0.4333,Agricultures et politiques environnementales
2023-01-22,0.4007,Politiques environnementales et écologiques du gouvernement français
2023-01-22,0.6085,Politiques environnementales et écologiques du gouvernement français
2023-01-22,0.4939,Soutien et financement de projets écologiques
2023-01-22,-0.0377,Énergie et économie vers une société écologique
2023-01-22,0.3434,Politiques environnementales et écologiques du gouvernement français
2023-01-22,0.6835,Politiques environnementales et écologiques du gouvernement français
2023-01-22,0.7574,Agricultures et politiques environnementales
2023-01-22,0.1027,Soutien et financement de projets écologiques
2023-01-22,-0.1078,Politiques environnementales et écologiques du gouvernement français
2023-01-22,0.0772,Soutien et financement de projets écologiques
2023-01-23,0.7405,Énergie et économie vers une société écologique
2023-01-23,0.75,Soutien et financement de projets écologiques
2023-01-23,0.0516,Politiques environnementales et écologiques du gouvernement français
2023-01-23,0.2746,Soutien et financement de projets écologiques
2023-01-23,0.1027,Soutien et financement de projets écologiques
2023-01-23,0.4019,Agricultures et politiques environnementales
2023-01-23,0.2746,Soutien et financement de projets écologiques
2023-01-23,0.2746,Soutien et financement de projets écologiques
2023-01-23,0.2746,Soutien et financement de projets écologiques
2023-01-23,-0.6794,Politiques environnementales et écologiques du gouvernement français
2023-01-23,0.4019,Politiques environnementales et écologiques du gouvernement français
2023-01-24,0.3182,Collectivités territoriales et développement durable
2023-01-24,0.1027,Politiques environnementales et écologiques du gouvernement français
2023-01-24,-0.0271,Politiques environnementales et écologiques du gouvernement français
2023-01-24,0.6054,Politiques environnementales et écologiques du gouvernement français
2023-01-24,0.2325,Soutien et financement de projets écologiques
2023-01-24,0.3361,Agricultures et politiques environnementales
2023-01-24,-0.126,Agricultures et politiques environnementales
2023-01-24,-0.0271,Politiques environnementales et écologiques du gouvernement français
2023-01-24,0.0,Agricultures et politiques environnementales
2023-01-24,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-24,0.3204,Politiques environnementales et écologiques du gouvernement français
2023-01-24,0.5905,Énergie et économie vers une société écologique
2023-01-24,-0.34,Collectivités territoriales et développement durable
2023-01-24,0.5859,Politiques environnementales et écologiques du gouvernement français
2023-01-24,0.0516,Politiques environnementales et écologiques du gouvernement français
2023-01-24,-0.4809,Soutien et financement de projets écologiques
2023-01-24,-0.7444,Soutien et financement de projets écologiques
2023-01-25,0.75,Politiques environnementales et écologiques du gouvernement français
2023-01-25,0.3182,Politiques environnementales et écologiques du gouvernement français
2023-01-25,0.0,Soutien et financement de projets écologiques
2023-01-25,-0.3382,Soutien et financement de projets écologiques
2023-01-25,0.1759,Soutien et financement de projets écologiques
2023-01-25,0.2462,Politiques environnementales et écologiques du gouvernement français
2023-01-25,0.7959,Politiques environnementales et écologiques du gouvernement français
2023-01-25,0.1027,Soutien et financement de projets écologiques
2023-01-25,0.0,Soutien et financement de projets écologiques
2023-01-25,-0.5399,Énergie et économie vers une société écologique
2023-01-26,-0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-26,0.6671,Agricultures et politiques environnementales
2023-01-26,0.5093,Soutien et financement de projets écologiques
2023-01-26,-0.5806,Soutien et financement de projets écologiques
2023-01-26,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-26,0.1531,Agricultures et politiques environnementales
2023-01-26,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-26,0.5986,Collectivités territoriales et développement durable
2023-01-26,0.2263,Soutien et financement de projets écologiques
2023-01-26,0.1759,Collectivités territoriales et développement durable
2023-01-27,0.3348,Agricultures et politiques environnementales
2023-01-27,0.0,Soutien et financement de projets écologiques
2023-01-27,0.7096,Collectivités territoriales et développement durable
2023-01-27,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-27,-0.7124,Politiques environnementales et écologiques du gouvernement français
2023-01-27,-0.0271,Collectivités territoriales et développement durable
2023-01-27,-0.6792,Soutien et financement de projets écologiques
2023-01-27,-0.6486,Collectivités territoriales et développement durable
2023-01-27,0.3252,Collectivités territoriales et développement durable
2023-01-27,0.2732,Politiques environnementales et écologiques du gouvernement français
2023-01-28,-0.2901,Énergie et économie vers une société écologique
2023-01-28,-0.4588,Politiques environnementales et écologiques du gouvernement français
2023-01-28,0.3544,Politiques environnementales et écologiques du gouvernement français
2023-01-28,0.4574,Agricultures et politiques environnementales
2023-01-28,-0.6486,Politiques environnementales et écologiques du gouvernement français
2023-01-28,0.0,Politiques environnementales et écologiques du gouvernement français
2023-01-28,0.4574,Agricultures et politiques environnementales
2023-01-28,-0.1124,Politiques environnementales et écologiques du gouvernement français
2023-01-28,0.2732,Politiques environnementales et écologiques du gouvernement français
2023-01-28,0.4019,Agricultures et politiques environnementales
2023-01-28,0.7633,Politiques environnementales et écologiques du gouvernement français
2023-01-28,-0.7351,Énergie et économie vers une société écologique
2023-01-29,-0.3837,Soutien et financement de projets écologiques
2023-01-29,-0.2462,Soutien et financement de projets écologiques
2023-01-29,0.2263,Agricultures et politiques environnementales
2023-01-29,0.4696,Collectivités territoriales et développement durable
2023-01-29,-0.4199,Soutien et financement de projets écologiques
2023-01-29,0.25,Énergie et économie vers une société écologique
2023-01-29,-0.6249,Politiques environnementales et écologiques du gouvernement français
2023-01-29,-0.7198,Collectivités territoriales et développement durable
2023-01-29,0.5255,Politiques environnementales et écologiques du gouvernement français
2023-01-29,0.4574,Agricultures et politiques environnementales
2023-01-29,0.0,Soutien et financement de projets écologiques
2023-01-29,0.4574,Agricultures et politiques environnementales
2023-01-29,0.5423,Soutien et financement de projets écologiques
2023-01-30,0.3182,Collectivités territoriales et développement durable
2023-01-30,0.2255,Politiques environnementales et écologiques du gouvernement français
2023-01-30,-0.784,Soutien et financement de projets écologiques
2023-01-30,0.128,Politiques environnementales et écologiques du gouvernement français
2023-01-30,0.0,Soutien et financement de projets écologiques
2023-01-30,-0.1027,Politiques environnementales et écologiques du gouvernement français
2023-01-30,-0.1429,Soutien et financement de projets écologiques
2023-01-30,-0.5229,Soutien et financement de projets écologiques
2023-01-30,0.0,Agricultures et politiques environnementales
2023-01-30,0.7906,Collectivités territoriales et développement durable
2023-01-30,0.5399,Politiques environnementales et écologiques du gouvernement français
2023-01-31,-0.4784,Soutien et financement de projets écologiques
2023-01-31,0.2023,Agricultures et politiques environnementales
2023-01-31,0.7351,Politiques environnementales et écologiques du gouvernement français
2023-01-31,-0.4563,Politiques environnementales et écologiques du gouvernement français
2023-01-31,-0.3818,Collectivités territoriales et développement durable
2023-01-31,0.5242,Politiques environnementales et écologiques du gouvernement français
2023-01-31,-0.0772,Collectivités territoriales et développement durable
2023-01-31,0.6093,Politiques environnementales et écologiques du gouvernement français
2023-01-31,0.296,Énergie et économie vers une société écologique
2023-01-31,-0.4574,Agricultures et politiques environnementales
2023-01-31,0.4939,Politiques environnementales et écologiques du gouvernement français
2023-01-31,0.7418,Collectivités territoriales et développement durable
2023-01-31,0.1759,Politiques environnementales et écologiques du gouvernement français
2023-01-31,-0.25,Collectivités territoriales et développement durable
2023-01-31,0.5574,Politiques environnementales et écologiques du gouvernement français
2023-01-31,0.4574,Agricultures et politiques environnementales
2023-02-01,0.4389,Soutien et financement de projets écologiques
2023-02-01,-0.485,Politiques environnementales et écologiques du gouvernement français
2023-02-01,0.0951,Politiques environnementales et écologiques du gouvernement français
2023-02-01,0.0,Soutien et financement de projets écologiques
2023-02-01,-0.1803,Politiques environnementales et écologiques du gouvernement français
2023-02-01,0.5411,Agricultures et politiques environnementales
2023-02-01,0.5984,Énergie et économie vers une société écologique
2023-02-01,0.1759,Soutien et financement de projets écologiques
2023-02-01,0.8908,Énergie et économie vers une société écologique
2023-02-01,0.4404,Politiques environnementales et écologiques du gouvernement français
2023-02-01,-0.6688,Politiques environnementales et écologiques du gouvernement français
2023-02-02,-0.296,Énergie et économie vers une société écologique
2023-02-02,0.126,Politiques environnementales et écologiques du gouvernement français
2023-02-02,-0.296,Politiques environnementales et écologiques du gouvernement français
2023-02-02,-0.296,Énergie et économie vers une société écologique
2023-02-02,-0.4389,Énergie et économie vers une société écologique
2023-02-02,0.7506,Agricultures et politiques environnementales
2023-02-02,-0.0271,Agricultures et politiques environnementales
2023-02-02,0.0772,Politiques environnementales et écologiques du gouvernement français
2023-02-02,-0.296,Politiques environnementales et écologiques du gouvernement français
2023-02-02,0.5358,Soutien et financement de projets écologiques
2023-02-02,0.477,Soutien et financement de projets écologiques
2023-02-02,-0.0377,Agricultures et politiques environnementales
2023-02-02,0.0,Soutien et financement de projets écologiques
2023-02-03,0.5859,Soutien et financement de projets écologiques
2023-02-03,-0.3597,Agricultures et politiques environnementales
2023-02-03,-0.1027,Politiques environnementales et écologiques du gouvernement français
2023-02-03,0.4912,Soutien et financement de projets écologiques
2023-02-03,0.1027,Agricultures et politiques environnementales
2023-02-03,0.75,Politiques environnementales et écologiques du gouvernement français
2023-02-03,0.6351,Politiques environnementales et écologiques du gouvernement français
2023-02-03,0.0,Politiques environnementales et écologiques du gouvernement français
2023-02-03,0.6467,Politiques environnementales et écologiques du gouvernement français
2023-02-03,0.5229,Soutien et financement de projets écologiques
2023-02-03,0.1007,Collectivités territoriales et développement durable
2023-02-03,0.4574,Agricultures et politiques environnementales
2023-02-04,0.1027,Collectivités territoriales et développement durable
2023-02-04,-0.296,Énergie et économie vers une société écologique
2023-02-04,-0.7383,Soutien et financement de projets écologiques
2023-02-04,0.4574,Agricultures et politiques environnementales
2023-02-04,0.0,Politiques environnementales et écologiques du gouvernement français
2023-02-04,0.4574,Agricultures et politiques environnementales
2023-02-04,0.3632,Politiques environnementales et écologiques du gouvernement français
2023-02-04,0.2677,Politiques environnementales et écologiques du gouvernement français
2023-02-04,0.0,Collectivités territoriales et développement durable
2023-02-04,0.7184,Soutien et financement de projets écologiques
2023-02-04,0.4767,Soutien et financement de projets écologiques
2023-02-04,0.4574,Agricultures et politiques environnementales
2023-02-04,0.4574,Agricultures et politiques environnementales
2023-02-04,-0.1078,Soutien et financement de projets écologiques
2023-02-05,0.5707,Énergie et économie vers une société écologique
2023-02-05,0.3612,Politiques environnementales et écologiques du gouvernement français
2023-02-05,-0.717,Agricultures et politiques environnementales
2023-02-05,-0.3365,Politiques environnementales et écologiques du gouvernement français
2023-02-05,0.4019,Énergie et économie vers une société écologique
2023-02-05,0.7013,Collectivités territoriales et développement durable
2023-02-05,-0.2942,Politiques environnementales et écologiques du gouvernement français
2023-02-05,-0.6801,Politiques environnementales et écologiques du gouvernement français
2023-02-05,0.4574,Agricultures et politiques environnementales
2023-02-05,-0.1027,Politiques environnementales et écologiques du gouvernement français
2023-02-05,-0.5053,Soutien et financement de projets écologiques
2023-02-05,-0.0377,Politiques environnementales et écologiques du gouvernement français
2023-02-05,0.2481,Politiques environnementales et écologiques du gouvernement français
2023-02-05,-0.5267,Énergie et économie vers une société écologique
2023-02-06,0.486,Agricultures et politiques environnementales
2023-02-06,0.6959,Politiques environnementales et écologiques du gouvernement français
2023-02-06,0.6908,Politiques environnementales et écologiques du gouvernement français
2023-02-06,0.4003,Collectivités territoriales et développement durable
2023-02-06,0.3612,Politiques environnementales et écologiques du gouvernement français
2023-02-06,0.25,Politiques environnementales et écologiques du gouvernement français
2023-02-06,0.0,Agricultures et politiques environnementales
2023-02-06,0.4199,Soutien et financement de projets écologiques
2023-02-06,0.0,Politiques environnementales et écologiques du gouvernement français
2023-02-07,0.6219,Politiques environnementales et écologiques du gouvernement français
2023-02-07,0.3382,Politiques environnementales et écologiques du gouvernement français
2023-02-07,-0.5538,Agricultures et politiques environnementales
2023-02-07,-0.2714,Agricultures et politiques environnementales
2023-02-07,-0.0464,Énergie et économie vers une société écologique
2023-02-07,0.1867,Politiques environnementales et écologiques du gouvernement français
2023-02-07,0.1027,Politiques environnementales et écologiques du gouvernement français
2023-02-07,0.0,Politiques environnementales et écologiques du gouvernement français
2023-02-07,0.1068,Politiques environnementales et écologiques du gouvernement français
2023-02-07,-0.1739,Soutien et financement de projets écologiques
2023-02-07,0.296,Soutien et financement de projets écologiques
