Date,Thème,Compound
2023-01-25,Énergies renouvelables et croissance économique,0.703425
2023-01-26,"Énergie solaire et éolienne, politiques et réglementations",0.136875
2023-01-26,Énergies renouvelables et croissance économique,0.6963
2023-01-27,"Énergie solaire et éolienne, politiques et réglementations",0.8025
2023-01-28,Enjeux du nucléaire et besoin de réduction d'énergie,0.8011
2023-01-28,Énergies renouvelables et croissance économique,0.55845
2023-01-29,"Énergie solaire et éolienne, politiques et réglementations",0.11385
2023-01-29,Énergies renouvelables et croissance économique,0.71675
2023-01-30,"Énergie solaire et éolienne, politiques et réglementations",0.0516
2023-01-30,Énergies renouvelables et croissance économique,0.61535
2023-01-31,Énergies renouvelables et croissance économique,0.3342
2023-02-01,"Énergie solaire et éolienne, politiques et réglementations",0.8442
2023-02-01,Énergies renouvelables et croissance économique,0.8118
2023-02-02,Énergies renouvelables et croissance économique,0.3188
2023-02-03,Enjeux du nucléaire et besoin de réduction d'énergie,0.7891
2023-02-03,"Énergie solaire et éolienne, politiques et réglementations",0.8172
2023-02-03,Énergies renouvelables et croissance économique,0.5862
2023-02-04,"Énergie solaire et éolienne, politiques et réglementations",0.6249
2023-02-04,Énergies renouvelables et croissance économique,0.2523
2023-02-05,Énergies renouvelables et croissance économique,0.2023
2023-02-06,"Énergie solaire et éolienne, politiques et réglementations",0.4767
2023-02-06,Énergies renouvelables et croissance économique,0.3538
2023-02-07,Enjeux du nucléaire et besoin de réduction d'énergie,-0.1986
2023-02-07,Énergies renouvelables et croissance économique,0.6322
2023-02-08,"Énergie solaire et éolienne, politiques et réglementations",0.5586
2023-02-08,Énergies renouvelables et croissance économique,0.5608666666666667
2023-02-09,Énergies renouvelables et croissance économique,0.4536142857142857
2023-02-10,Énergies renouvelables et croissance économique,0.7106
2023-02-11,Énergies renouvelables et croissance économique,0.755
2023-02-12,Enjeux du nucléaire et besoin de réduction d'énergie,0.8164
2023-02-12,"Énergie solaire et éolienne, politiques et réglementations",-0.2862
2023-02-12,Énergies renouvelables et croissance économique,0.5131333333333333
2023-02-13,Énergies renouvelables et croissance économique,0.57
2023-02-14,Enjeux du nucléaire et besoin de réduction d'énergie,0.6136
2023-02-14,Énergies renouvelables et croissance économique,0.4404
2023-02-15,"Énergie solaire et éolienne, politiques et réglementations",0.78605
2023-02-15,Énergies renouvelables et croissance économique,0.3424333333333333
2023-02-16,Énergies renouvelables et croissance économique,0.10692499999999998
2023-02-17,"Énergie solaire et éolienne, politiques et réglementations",0.5271
2023-02-17,Énergies renouvelables et croissance économique,0.55015
2023-02-18,Énergies renouvelables et croissance économique,0.5423
2023-02-19,"Énergie solaire et éolienne, politiques et réglementations",0.4404
2023-02-19,Énergies renouvelables et croissance économique,0.34962499999999996
2023-02-20,Énergies renouvelables et croissance économique,0.40956666666666663
2023-02-21,Énergies renouvelables et croissance économique,0.39459999999999995
2023-02-22,Enjeux du nucléaire et besoin de réduction d'énergie,0.6460999999999999
2023-02-22,Énergies renouvelables et croissance économique,0.5639
2023-02-23,"Énergie solaire et éolienne, politiques et réglementations",-0.5849
2023-02-23,Énergies renouvelables et croissance économique,0.4665
2023-02-24,Énergies renouvelables et croissance économique,0.24495
2023-02-25,Enjeux du nucléaire et besoin de réduction d'énergie,-0.2589
2023-02-25,Énergies renouvelables et croissance économique,0.339325
2023-02-26,"Énergie solaire et éolienne, politiques et réglementations",0.7237
2023-02-26,Énergies renouvelables et croissance économique,0.442575
2023-02-27,"Énergie solaire et éolienne, politiques et réglementations",0.7674333333333334
2023-02-27,Énergies renouvelables et croissance économique,0.4982
2023-02-28,"Énergie solaire et éolienne, politiques et réglementations",0.2263
2023-03-01,"Énergie solaire et éolienne, politiques et réglementations",0.701
2023-03-01,Énergies renouvelables et croissance économique,0.4019
2023-03-02,Enjeux du nucléaire et besoin de réduction d'énergie,0.7556
2023-03-02,Énergies renouvelables et croissance économique,0.6476
2023-03-03,Énergies renouvelables et croissance économique,0.620825
2023-03-04,Enjeux du nucléaire et besoin de réduction d'énergie,0.45505000000000007
2023-03-04,"Énergie solaire et éolienne, politiques et réglementations",0.6351
2023-03-04,Énergies renouvelables et croissance économique,0.7712
2023-03-05,"Énergie solaire et éolienne, politiques et réglementations",0.8622
2023-03-05,Énergies renouvelables et croissance économique,0.7065
2023-03-06,"Énergie solaire et éolienne, politiques et réglementations",0.6973666666666666
2023-03-06,Énergies renouvelables et croissance économique,0.4019
2023-03-07,Enjeux du nucléaire et besoin de réduction d'énergie,0.6124
2023-03-07,Énergies renouvelables et croissance économique,0.3704666666666667
2023-03-08,Enjeux du nucléaire et besoin de réduction d'énergie,0.6908
2023-03-08,"Énergie solaire et éolienne, politiques et réglementations",0.7521
2023-03-09,Énergies renouvelables et croissance économique,0.513
2023-03-11,"Énergie solaire et éolienne, politiques et réglementations",0.7906
2023-03-11,Énergies renouvelables et croissance économique,0.7025
2023-03-12,Enjeux du nucléaire et besoin de réduction d'énergie,0.8353
2023-03-12,"Énergie solaire et éolienne, politiques et réglementations",0.54285
2023-03-12,Énergies renouvelables et croissance économique,-0.3267
2023-03-13,Enjeux du nucléaire et besoin de réduction d'énergie,0.571
2023-03-13,Énergies renouvelables et croissance économique,0.7184
2023-03-14,"Énergie solaire et éolienne, politiques et réglementations",0.7906
2023-03-14,Énergies renouvelables et croissance économique,0.9269
2023-03-15,Enjeux du nucléaire et besoin de réduction d'énergie,0.4019
2023-03-15,"Énergie solaire et éolienne, politiques et réglementations",0.646
2023-03-15,Énergies renouvelables et croissance économique,0.1531
2023-03-16,Énergies renouvelables et croissance économique,0.4215
2023-03-17,Énergies renouvelables et croissance économique,0.6448
2023-03-18,"Énergie solaire et éolienne, politiques et réglementations",0.073275
2023-03-18,Énergies renouvelables et croissance économique,0.88405
2023-03-19,Enjeux du nucléaire et besoin de réduction d'énergie,0.5848
2023-03-19,"Énergie solaire et éolienne, politiques et réglementations",0.5615
2023-03-19,Énergies renouvelables et croissance économique,-0.8703
2023-03-20,"Énergie solaire et éolienne, politiques et réglementations",0.4926
2023-03-20,Énergies renouvelables et croissance économique,0.4397
2023-03-21,Enjeux du nucléaire et besoin de réduction d'énergie,0.5255
2023-03-21,"Énergie solaire et éolienne, politiques et réglementations",-0.0772
2023-03-21,Énergies renouvelables et croissance économique,0.74835
2023-03-22,Enjeux du nucléaire et besoin de réduction d'énergie,0.5399
2023-03-22,"Énergie solaire et éolienne, politiques et réglementations",0.6467
2023-03-22,Énergies renouvelables et croissance économique,0.8225
2023-03-23,"Énergie solaire et éolienne, politiques et réglementations",0.7772
2023-03-23,Énergies renouvelables et croissance économique,0.1124
2023-03-24,Enjeux du nucléaire et besoin de réduction d'énergie,0.8279000000000001
2023-03-24,Énergies renouvelables et croissance économique,0.67025
2023-03-25,Énergies renouvelables et croissance économique,0.40535
2023-03-26,"Énergie solaire et éolienne, politiques et réglementations",0.7263
2023-03-26,Énergies renouvelables et croissance économique,0.49225
2023-03-27,Énergies renouvelables et croissance économique,0.30125
2023-03-28,"Énergie solaire et éolienne, politiques et réglementations",0.011900000000000022
2023-03-28,Énergies renouvelables et croissance économique,0.6449
2023-03-29,Énergies renouvelables et croissance économique,0.42115
2023-03-30,Enjeux du nucléaire et besoin de réduction d'énergie,0.5733
2023-03-30,Énergies renouvelables et croissance économique,0.7247
2023-03-31,Énergies renouvelables et croissance économique,0.517675
2023-04-02,"Énergie solaire et éolienne, politiques et réglementations",0.2942
2023-04-02,Énergies renouvelables et croissance économique,0.2268
2023-04-03,Enjeux du nucléaire et besoin de réduction d'énergie,0.8189333333333333
2023-04-03,"Énergie solaire et éolienne, politiques et réglementations",0.6703
2023-04-03,Énergies renouvelables et croissance économique,-0.34
2023-04-04,"Énergie solaire et éolienne, politiques et réglementations",0.40386666666666665
2023-04-04,Énergies renouvelables et croissance économique,0.1511
2023-04-05,"Énergie solaire et éolienne, politiques et réglementations",0.7783
2023-04-06,Enjeux du nucléaire et besoin de réduction d'énergie,0.3164
2023-04-06,"Énergie solaire et éolienne, politiques et réglementations",0.8442
2023-04-06,Énergies renouvelables et croissance économique,0.5901
2023-04-08,"Énergie solaire et éolienne, politiques et réglementations",0.5912
2023-04-08,Énergies renouvelables et croissance économique,0.6372666666666666
2023-04-10,Énergies renouvelables et croissance économique,0.5495
2023-04-11,Enjeux du nucléaire et besoin de réduction d'énergie,0.6884
2023-04-11,"Énergie solaire et éolienne, politiques et réglementations",0.7506
2023-04-11,Énergies renouvelables et croissance économique,0.8064
2023-04-12,"Énergie solaire et éolienne, politiques et réglementations",0.49829999999999997
2023-04-12,Énergies renouvelables et croissance économique,-0.02510000000000001
2023-04-13,Enjeux du nucléaire et besoin de réduction d'énergie,0.4926
2023-04-13,"Énergie solaire et éolienne, politiques et réglementations",0.783
2023-04-13,Énergies renouvelables et croissance économique,0.2931333333333333
2023-04-14,"Énergie solaire et éolienne, politiques et réglementations",0.7269
2023-04-14,Énergies renouvelables et croissance économique,-0.16770000000000002
2023-04-15,Enjeux du nucléaire et besoin de réduction d'énergie,0.15775000000000003
2023-04-15,Énergies renouvelables et croissance économique,-0.1531
2023-04-16,Énergies renouvelables et croissance économique,0.2023
2023-04-18,"Énergie solaire et éolienne, politiques et réglementations",-0.1281
2023-04-18,Énergies renouvelables et croissance économique,-0.1284
2023-04-19,"Énergie solaire et éolienne, politiques et réglementations",0.7552
2023-04-19,Énergies renouvelables et croissance économique,0.80905
2023-04-20,Enjeux du nucléaire et besoin de réduction d'énergie,0.7856
2023-04-20,"Énergie solaire et éolienne, politiques et réglementations",-0.8924
2023-04-20,Énergies renouvelables et croissance économique,0.254
2023-04-22,Enjeux du nucléaire et besoin de réduction d'énergie,0.3806
2023-04-22,"Énergie solaire et éolienne, politiques et réglementations",0.5994
2023-04-22,Énergies renouvelables et croissance économique,0.056999999999999995
