Content,Clean_Tweet,Date,Thème TEner,Thème Énergétique,Thème TEco,Thème Écologique
"Les minerais stratégiques ,les terres rares indispensables pour la transition écologique et la technologie de pointe se trouvent en RDC,les USA devraient penser à créer un partenariat avec Kinshasa comme Roosevelt l'avez fait avec l'Arabie saoudite","['minerai', 'stratégique', 'terre', 'indispensable', 'écologique', 'technologie', 'point', 'trouver', 'rdcle', 'user', 'devoir', 'penser', 'créer', 'partenariat', 'kinshasa', 'roosevelt', 'laver', 'larabie', 'saoudite']",2023-01-01,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Une véritable transition écologique. Est possible si elle est organisée prévue sur le long terme et ne fait  pas n'importent quoi ._x000D_
Il est possible de faire du recyclage du plastique pour en faire du pétrole. Un inventeur français à fabriquer une machine pour cela...","['véritable', 'écologique', 'organiser', 'prévoir', 'long', 'terme', 'nimportent', 'x000d', 'recyclage', 'plastique', 'pétrol', 'inventeur', 'français', 'fabriquer', 'machine']",2023-01-01,Thème 2,Énergie renouvelable et développement international,Thème 5,Économie et écologie : enjeux et perspectives
"En fait il mélange je crois deux notions "" la transition énergétique "" et "" la transition écologique ""","['mélange', 'croire', 'noter', 'écologique']",2023-01-01,Thème 0,Politique énergétique et environnementale,Thème 6,Emploi et industrie écologique
Les derniers chiffres publiés par le ministère de la transition écologique font état d'un fort recul du nombre de permis de construire délivrés entre septembre et novembre 2022. buff.ly/3i6b14Z,"['dernier', 'chiffre', 'publier', 'ministère', 'écologique', 'fort', 'recul', 'nombre', 'permettre', 'construire', 'délivrer', 'septembre', 'novembre', 'buffly3i6b14z']",2023-01-01,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 10,Services publics et transition écologique
"Transition écologique : à 20h ce samedi, jour de réveillon, les pompiers qui s'amusent à Angers en prenant la grande avenue du centre ville, gyro et 2 tons, juste pour gaspiller le carburant de 4 véhicules et l'imbécile déguisé en plongeur sur la grande échelle. Bel exemple !","['écologique', '20h', 'samedi', 'réveillon', 'pompier', 'samusent', 'angers', 'prenant', 'grand', 'avenue', 'centre', 'ville', 'gyro', 'ton', 'gaspiller', 'carburer', 'véhicule', 'limbécil', 'déguiser', 'plongeur', 'grand', 'échelle', 'bel']",2023-01-01,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 11,Réformes écologiques et environnementales en France
"Estrosi TOUTE HONTE BUE_x000D_
Salue le cap fixé ce soir par le Président :_x000D_
Pour continuer de réformer notre pays et faire face aux enjeux de 2023: soutenir notre économie et nos emplois, en particulier nos artisans, renforcer la justice sociale et accélérer la transition écologique.","['estrosi', 'hont', 'buex000d', 'saluer', 'cap', 'fixer', 'soir', 'président', 'x000d', 'continuer', 'réformer', 'enjeu', 'soutenir', 'économie', 'emploi', 'artisan', 'renforcer', 'justice', 'social', 'accélérer', 'écologique']",2023-01-01,Thème 6,Emploi et dynamique économique,Thème 6,Emploi et industrie écologique
"#Macron n'avait pas prévu la guerre en Ukraine. La transition ecologique n'était pas sa priorité et il ne l'aurait pas faite._x000D_
Il a dc voulu dire : qui aurait pu predire la guerre en Ukraine?_x000D_
De là decoule la TE forcée pr récupérer et amortir les pertes financières abyssales._x000D_
CQFD","['macron', 'naver', 'prévoir', 'guerre', 'ukrain', 'ecologiqu', 'néter', 'priorité', 'laurer', 'faitex000d', 'dc', 'vouloir', 'predir', 'guerre', 'ukrainex000d', 'decoule', 'forcer', 'pr', 'récupérer', 'amortir', 'perte', 'financier', 'abyssalesx000d', 'cqfd']",2023-01-01,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 10,Services publics et transition écologique
"Transition écologique et jeux Olympiques, il y a quelque chose qui ne tourne pas rond dans le discours d'Emmanuel Macron.","['écologique', 'jeu', 'olympique', 'chose', 'tourn', 'rond', 'discour', 'demmanuel', 'macron']",2023-01-01,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 0,Politiques environnementales et écologiques du gouvernement français
"26/34_x000D_
mais il implique une profonde transformation sociétale et une repriorisation des investissements. La transition écologique vers une société décarbonée et résiliente ne peut marcher qu’avec 2 jambes :","['2634x000d', 'impliquer', 'profond', 'transformation', 'sociétal', 'repriorisation', 'investissement', 'écologique', 'société', 'décarboner', 'résilient', 'marcher', 'jambe']",2023-01-02,Thème 0,Politique énergétique et environnementale,Thème 1,Soutien et financement de projets écologiques
"Pas besoin de ré-expliquer, il a été très clair en septembre dernier ; faire des économies sur les retraites pour financer d’autres réformes à venir sur l’école, la santé, la transition écologique…_x000D_
En somme faire porter les efforts à venir aux travailleurs.","['besoin', 'réexpliquer', 'clair', 'septembr', 'économie', 'retraite', 'financer', 'réforme', 'venir', 'école', 'santé', 'écologique', 'x000d', 'somme', 'porter', 'effort', 'venir', 'travailleur']",2023-01-02,Thème 11,Recherche et développement dans l'industrie énergétique,Thème 1,Soutien et financement de projets écologiques
"🇫🇷 Visite officielle _x000D_
Pierre Ory @Prefet49 a accueilli  @christopheBechu, Ministre de la Transition écologique et de la Cohésion des territoires à Angers ce soir, à l'occasion de la cérémonie des vœux du Maire @JM_Verchere aux Angevins, au centre des congrès.","['visite', 'officiel', 'x000d', 'pierre', 'ory', 'prefet49', 'accueillir', 'christophebechu', 'ministre', 'écologique', 'cohésion', 'territoire', 'angers', 'soir', 'loccasion', 'cérémonie', 'vœux', 'maire', 'jmverchere', 'angevin', 'centre', 'congrès']",2023-01-02,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 0,Politiques environnementales et écologiques du gouvernement français
Cynisme et irresponsabilité. Le ministre de la transition #écologique évoque l’#économie #circulaire et la #biodiversité en faisant de la pub pour Mc Do. Envie d’aller en démonter un ! La malbouffe tue. #climat #vivant #santé,"['cynisme', 'irresponsabilité', 'ministre', 'écologique', 'évoqu', 'économie', 'circulaire', 'biodiversité', 'pub', 'mc', 'envie', 'aller', 'démonter', 'malbouff', 'tue', 'climat', 'vivant', 'santé']",2023-01-02,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 0,Politiques environnementales et écologiques du gouvernement français
"La vaisselle jetable dans les fast-foods, c'est fini !  Le ministre de la Transition écologique était ce lundi au McDo du Mans pour constater le changement 🍔🥛 @ChristopheBechu @Ecologie_Gouv @BCouillard33 @McDonaldsFrance_x000D_
l.ouest-france.fr/WMc","['vaissell', 'jetable', 'fastfoods', 'finir', 'ministre', 'écologique', 'lundi', 'mcdo', 'mans', 'constater', 'changement', 'christophebechu', 'ecologiegouv', 'bcouillard33', 'mcdonaldsfrancex000d', 'louestfrancefrwmc']",2023-01-02,Thème 1,Production d'énergie et transition énergétique,Thème 0,Politiques environnementales et écologiques du gouvernement français
Actu-Environnement élargit son offre éditoriale #transition #écologique actu-environnement.com/ae/ne…,"['actuenvironnement', 'élargir', 'offrir', 'éditorial', 'écologique', 'actuenvironnementcomaene']",2023-01-02,Thème 4,Financement et développement public,Thème 1,Soutien et financement de projets écologiques
"Au contraire, les services publics participent à la fois à la justice sociale ET à la transition écologique. Les classes modestes et moyennes habitant en ville sont sans doute celles qui bénéficient le plus de services gratuits ou à tarifs faibles (inférieurs au coût réel) !","['contraire', 'service', 'public', 'participer', 'justice', 'social', 'écologique', 'classe', 'modeste', 'moyen', 'habiter', 'ville', 'doute', 'bénéficier', 'service', 'gratuit', 'tarif', 'faible', 'inférieur', 'coût', 'réel']",2023-01-02,Thème 1,Production d'énergie et transition énergétique,Thème 10,Services publics et transition écologique
Transition écologique des bâtiments tertiaires: Spie se positionne sur un marché à plusieurs milliards d'euros dlvr.it/SgGzbv,"['écologique', 'bâtiment', 'tertiaire', 'spi', 'positionn', 'marché', 'milliard', 'deuro', 'dlvritsggzbv']",2023-01-02,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Lundi 02 janvier 2023  Depuis le 1er janvier 2023, les enseignes de restauration rapide ont l’obligation d’utiliser de la vaisselle lavable. Ce lundi 2 janvier 2023, le ministre de la Transition écologique Christophe Béchu a constaté le changement... lemans.maville.com/actu/actu…","['lundi', 'janvier', 'premier', 'janvier', 'enseigne', 'restauration', 'rapide', 'obligation', 'utiliser', 'vaissell', 'lavable', 'lundi', 'janvier', 'ministre', 'écologique', 'christophe', 'béchu', 'constater', 'changement', 'lemansmavillecomactuactu']",2023-01-02,Thème 12,Innovation dans le secteur de l'énergie,Thème 14,Agricultures et politiques environnementales
"12/ C’est le bordel ? Les contrôleurs participent à la production de ce bénéfice, dans des activités privées alors que faire circuler des trains à grande vitesse, pour la transition écologique, ça ne devrait pas obéir aux logiques du marché.","['bordel', 'contrôleur', 'participer', 'production', 'bénéfice', 'activité', 'privé', 'circuler', 'train', 'grand', 'vitesse', 'écologique', 'obéir', 'logique', 'marché']",2023-01-02,Thème 0,Politique énergétique et environnementale,Thème 9,Politiques écologiques du président Emmanuel Macron
Un petit pas vers une transition écologique.,"['petit', 'écologique']",2023-01-02,Thème 6,Emploi et dynamique économique,Thème 13,Entreprises et transition écologique
"Belle cérémonie des vœux d'@Angers, pleine d'optimisme pour 2023 ! Cérémonie présidée par @JM_Verchere en présence de @ChristopheBechu _x000D_
La transition écologique au cœur des enjeux de l'année, notamment par les actions sur la mobilité et l'habitat. @GRDF vous accompagne !","['bel', 'cérémonie', 'vœux', 'danger', 'plein', 'doptimism', 'cérémonie', 'présider', 'jmverchere', 'présence', 'christophebechu', 'x000d', 'écologique', 'cœur', 'enjeux', 'lanner', 'action', 'mobilité', 'lhabitat', 'grdf', 'accompagne']",2023-01-02,Thème 14,"Énergie nucléaire, électricité et économie industrielle",Thème 5,Économie et écologie : enjeux et perspectives
"Le collectif Non au parking silo a manifesté à juste titre son opposition au projet de parking 300 places en plein centre-ville d’#Angers pendant l’allocution du min. de la transition écologique @ChristopheBechu _x000D_
👉 Un projet à l’encontre de tous nos engagements pour le #climat","['collectif', 'parking', 'silo', 'manifesté', 'titre', 'opposition', 'projet', 'parking', 'place', 'centrevill', 'anger', 'allocution', 'min', 'écologique', 'christophebechu', 'x000d', 'projet', 'encontre', 'engagement', 'climat']",2023-01-02,Thème 14,"Énergie nucléaire, électricité et économie industrielle",Thème 1,Soutien et financement de projets écologiques
Ben pourquoi croyez que @AgnesRunacher héritière d'un magnat du pétrole a été nommée à la transition écologique ?,"['ben', 'croyez', 'agnesrunacher', 'héritier', 'magnat', 'pétrol', 'nommer', 'écologique']",2023-01-02,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Lundi 02 janvier 2023  Depuis le 1er janvier 2023, les enseignes de restauration rapide de plus vingt couverts n’ont plus le droit d’utiliser de la vaisselle jetable. Lundi 2 janvier 2023, Christophe Béchu, ministre de la Transition écologique, es... lemans.maville.com/actu/actu…","['lundi', 'janvier', 'premier', 'janvier', 'enseigne', 'restauration', 'rapide', 'couvert', 'droit', 'utiliser', 'vaissell', 'jetable', 'lundi', 'janvier', 'christophe', 'béchu', 'ministre', 'écologique', 'lemansmavillecomactuactu']",2023-01-02,Thème 12,Innovation dans le secteur de l'énergie,Thème 14,Agricultures et politiques environnementales
"[#Recrutement #RSE]_x000D_
Stage RSE et transition écologique H/F_x000D_
#CCI des Côtes d'Armor H/F Saint-Brieuc #Bretagne_x000D_
orientation-environnement.fr…","['recrutement', 'rsex000d', 'stage', 'rse', 'écologique', 'hfx000d', 'cci', 'côte', 'darmor', 'hf', 'saintbrieuc', 'bretagnex000d', 'orientationenvironnementfr']",2023-01-02,Thème 14,"Énergie nucléaire, électricité et économie industrielle",Thème 10,Services publics et transition écologique
Transition écologique des bâtiments tertiaires: Spie se positionne sur un marché à plusieurs milliards d'euros latribune.fr/entreprises-fin…,"['écologique', 'bâtiment', 'tertiaire', 'spi', 'positionn', 'marché', 'milliard', 'deuro', 'latribunefrentreprisesfin']",2023-01-02,Thème 2,Énergie renouvelable et développement international,Thème 0,Politiques environnementales et écologiques du gouvernement français
"La transition écologique, un leurre doublé d’une chimère ! L'édito de Fabrice Bonnifet (@FBonnifet), président du @c3_d > tf1info.fr/environnement-eco… #DeveloppementDurable","['écologique', 'leurre', 'doublé', 'chimérer', 'lédito', 'fabrice', 'bonnifet', 'fbonnifet', 'président', 'c3d', 'tf1infofrenvironnementeco', 'developpementdurabl']",2023-01-02,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 1,Soutien et financement de projets écologiques
Déchets : le ministre de la Transition écologique salue la fin du jetable dans un McDo du Mans (Ouest-France) dlvr.it/SgGmLs,"['déchet', 'ministr', 'écologique', 'saluer', 'fin', 'jetable', 'mcdo', 'mans', 'ouestfrance', 'dlvritsggml']",2023-01-02,Thème 12,Innovation dans le secteur de l'énergie,Thème 14,Agricultures et politiques environnementales
Transition écologique pour moins polluer,"['écologique', 'polluer']",2023-01-02,Thème 13,Politique énergétique en Allemagne,Thème 9,Politiques écologiques du président Emmanuel Macron
"Reportage sur la bite : Brigade d’Intervention pour la Transition Ecologique _x000D_
_x000D_
Hilarant _x000D_
_x000D_
fb.watch/hQsQoErr52/","['reportage', 'bite', 'brigade', 'intervention', 'ecologiqu', 'x000d', 'x000d', 'hilarer', 'x000d', 'x000d', 'fbwatchhqsqoerr52']",2023-01-03,Thème 4,Financement et développement public,Thème 4,Santé et développement durable
"Nous avons échangé avec @sarahelhairy sur le Service National Universel et l’engagement citoyen de notre jeunesse._x000D_
_x000D_
Une belle opportunité d'allier cohésion et formation à la transition écologique. C'est notre engagement !","['échangé', 'sarahelhairy', 'service', 'national', 'universel', 'engagement', 'citoyen', 'jeunessex000d', 'x000d', 'bel', 'opportunité', 'dallier', 'cohésion', 'formation', 'écologique', 'engagement']",2023-01-03,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
Alors le lien entre SNU et écologie va falloir qu’on m’explique … « formation à la transition écologique » À deux doigts d’inventer l’école non ? Nouvelle gabegie de la droite la plus bête du monde ..!,"['snu', 'écologie', 'falloir', 'expliquer', 'formation', 'écologique', 'doigt', 'inventer', 'école', 'nouveau', 'gabegie', 'bête', 'mond']",2023-01-03,Thème 3,Stratégies économiques et environnementales,Thème 1,Soutien et financement de projets écologiques
bizarrement c'est pas la transition écologique qui passe en 49.3 c'est fou,"['bizarrement', 'écologique', 'passer', 'fou']",2023-01-03,Thème 6,Emploi et dynamique économique,Thème 3,Énergie et économie vers une société écologique
"[Parution] Le droit économique, levier de la transition écologique ?, dir. Aude-Solveig Epstein et Marie Nioche @larciergrp @marienioche univ-droit.fr/recherche/actu…","['parution', 'droit', 'économique', 'levier', 'écologique', 'dir', 'audesolveig', 'epstein', 'marie', 'nioch', 'larciergrp', 'marienioche', 'univdroitfrrechercheactu']",2023-01-03,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 5,Économie et écologie : enjeux et perspectives
"Industrie et transition écologique vont de pair._x000D_
_x000D_
Réunion de travail avec @RolandLescure pour évoquer l'industrie française dans nos territoires._x000D_
_x000D_
Nos objectifs : promouvoir l'emploi, accélérer la décarbonation et soutenir un plan d’investissement massif avec #France2030.","['industrie', 'écologique', 'pairx000d', 'x000d', 'réunion', 'travail', 'rolandlescur', 'évoquer', 'lindustrie', 'français', 'territoiresx000d', 'x000d', 'objectif', 'promouvoir', 'lemploi', 'accélérer', 'décarbonation', 'soutenir', 'plan', 'investissement', 'massif', 'france2030']",2023-01-03,Thème 13,Politique énergétique en Allemagne,Thème 1,Soutien et financement de projets écologiques
"HELLO WORLD 🌎🌈🍃💦☀️En 2023, je souhaite aux #étudiants de Compétences et Développement, réseau d'écoles et centres de formation en France et à l'International d'être les ACTEURS de la transition écologique et sociale. Assurer l'AVENIR, s'engager et inventer un nouveau modèle.","['hello', 'world', 'souhaiter', 'étudiant', 'compétence', 'développement', 'réseau', 'décole', 'centre', 'formation', 'france', 'linternational', 'dêtr', 'acteur', 'écologique', 'social', 'assurer', 'lavenir', 'sengager', 'inventer', 'modèle']",2023-01-03,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
Commencer l'année avec un projet de média centré sur les questions de transition écologique... j'adore ! lnkd.in/dmBTdkVN,"['commencer', 'lanner', 'projet', 'média', 'centré', 'question', 'écologique', 'jadore', 'lnkdindmbtdkvn']",2023-01-03,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 10,Services publics et transition écologique
"A Ungersheim, village pionnier de la transition écologique, l’objectif d’autonomie énergétique et alimentaire repoussé en raison de la crise_x000D_
lemonde.fr/planete/article/2…","['ungersheim', 'village', 'pionnier', 'écologique', 'objectif', 'autonomie', 'alimentaire', 'repousser', 'raison', 'crisex000d', 'lemondefrplanetearticle2']",2023-01-03,Thème 1,Production d'énergie et transition énergétique,Thème 8,Collectivités territoriales et développement durable
"Ce n’est pas la jeunesse, génération consciente, engagée, créative qui a besoin d’être formée en urgence sur la transition écologique, mais le Président de la République.","['jeuness', 'génération', 'conscient', 'engager', 'créatif', 'besoin', 'formé', 'urgenc', 'écologique', 'président', 'républiqu']",2023-01-03,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 14,Agricultures et politiques environnementales
dans l'idée tu pourrais compléter la transition écologique avec un tram je suis sur,"['lider', 'compléter', 'écologique', 'tram']",2023-01-03,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"@Amiel_David_ n’a pas compris que le but c’est de faire des économies sur les retraites pour financer d’autres réformes à venir sur l’école, la santé, la transition écologique… pas de créer des dépenses supplémentaires. 🙄","['amieldavid', 'économie', 'retraite', 'financer', 'réforme', 'venir', 'école', 'santé', 'écologique', 'créer', 'dépense', 'supplémentaire']",2023-01-03,Thème 1,Production d'énergie et transition énergétique,Thème 1,Soutien et financement de projets écologiques
"L’écologie politique n’est pas le pré-carré des entreprises qui travaillent dans la rénovation thermique, il faut que d’autres profils socio-professionnels s’en saisissent. _x000D_
_x000D_
Ce n’est que le début de débats qui réuniront d’autres acteurs de la transition écologique.","['écologie', 'politique', 'précarré', 'entreprise', 'travailler', 'rénovation', 'thermique', 'profil', 'socioprofessionnel', 'saisissent', 'x000d', 'x000d', 'débat', 'réunir', 'acteur', 'écologique']",2023-01-03,Thème 12,Innovation dans le secteur de l'énergie,Thème 8,Collectivités territoriales et développement durable
"La transition énergétique se fera quoi qu'il en coûte, en répliquant certains modèles, c'est la transition écologique que l'on met à l'épreuve.","['faire', 'coûter', 'répliquer', 'modèle', 'écologique', 'lon', 'mettre', 'lépreuve']",2023-01-03,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 12,Écologie et construction de bâtiments durables
"La guerre en Ukraine et la Transition Ecologique sont les 2 faces d'une même pièce._x000D_
C'est la guerre qui amène la TE._x000D_
S'il ne pouvait pas prévoir la guerre, il ne pouvait pas prévoir la Crise Climatique.😅_x000D_
Sans guerre pas de TE donc pas de CC._x000D_
_x000D_
CQFD.","['guerre', 'ukrain', 'ecologique', 'face', 'piècex000d', 'guerre', 'amène', 'tex000d', 'sil', 'prévoir', 'guerre', 'prévoir', 'crise', 'climatique', 'x000d', 'guerre', 'ccx000d', 'x000d', 'cqfd']",2023-01-03,Thème 4,Financement et développement public,Thème 10,Services publics et transition écologique
C'est faire payer le poids exorbitant des retraites sur les actifs qui devront en plus supporter le cout de la transition écologique et la dette publique. Ou comment les privilégiés du babyboom font payer les générations nés après 1980.,"['payer', 'poids', 'exorbiter', 'retraite', 'actif', 'devoir', 'supporter', 'cout', 'écologique', 'dette', 'public', 'privilégier', 'babyboom', 'payer', 'génération', 'naître']",2023-01-03,Thème 1,Production d'énergie et transition énergétique,Thème 1,Soutien et financement de projets écologiques
"Communiquaction News: @TF1Info: '🔴Les Rencontres de l'Info @TF1 @LCI en partenariat avec @LeCLEMI se délocalisent pour la 1ère fois_x000D_
_x000D_
🌍Transition écologique, quel traitement dans nos RDV d'info? _x000D_
_x000D_
📍Le @GroupeTF1 a cho… nitter.net/TF1Info/status/1…, see more tweetedtimes.com/communiquac…","['communiquaction', 'news', 'tf1info', 'rencontre', 'linfo', 'tf1', 'lci', 'partenariat', 'leclemi', 'délocalisent', '1ère', 'foisx000d', 'x000d', 'écologique', 'traitement', 'rdv', 'dinfo', 'x000d', 'x000d', 'groupetf1', 'cho', 'nitternettf1infostatus1', 'see', 'tweetedtimescomcommuniquac']",2023-01-03,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 1,Soutien et financement de projets écologiques
"Enseignement : Sciences Po_x000D_
_x000D_
Fonction : Ministre de la Transition écologique et de la Cohésion des territoires de France depuis 2022_x000D_
_x000D_
Gouvernement : Borne_x000D_
_x000D_
Président : Emmanuel Macron","['enseignement', 'sciencer', 'pox000d', 'x000d', 'fonction', 'ministre', 'écologique', 'cohésion', 'territoire', 'france', '2022x000d', 'x000d', 'gouvernement', 'bornex000d', 'x000d', 'président', 'emmanuel', 'macron']",2023-01-03,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 0,Politiques environnementales et écologiques du gouvernement français
Notre ministre de la transition écologique @ChristopheBechu veut controler des 2023 les fast-foods qu'il commence par contrôler son ministère..... #ecologie #mcdo #Burgerking #kfc,"['ministre', 'écologique', 'christophebechu', 'controler', 'fastfoods', 'commencer', 'contrôler', 'ministère', 'ecologie', 'mcdo', 'burgerking', 'kfc']",2023-01-03,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
L’occasion d’ évoquer les principales orientations du futur plan de transition écologique de la Ville,"['occasion', 'évoquer', 'principal', 'orientation', 'futur', 'plan', 'écologique', 'ville']",2023-01-03,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 12,Écologie et construction de bâtiments durables
"Ils font la transition écologique à l'envers, ils remplacent le bas carbone par le haut carbone._x000D_
Bon après on est en Belgique donc faut pas s'étonner mais c'est incompréhensible que la règlementation européenne n'interdise pas de faire ça.","['écologique', 'lenver', 'remplacent', 'carbon', 'carbonex000d', 'belgiqu', 'sétonner', 'incompréhensible', 'règlementation', 'européen', 'ninterdis']",2023-01-04,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 1,Soutien et financement de projets écologiques
"Aucune transition écologique ne pourra avoir lieu sans un transfert du fossile vers de l'⚡ décarbonnée. Celui-ci n'aura pas lieu, et nos entreprises, quelque soit leur taille, ne survivront si elles ne bénéficient pas d'un prix de l'⚡ mesuré & stable.","['écologique', 'pouvoir', 'transfert', 'fossile', 'décarbonner', 'celuici', 'naurer', 'entreprendre', 'taille', 'survivre', 'bénéficier', 'prix', 'mesurer', 'stable']",2023-01-04,Thème 0,Politique énergétique et environnementale,Thème 14,Agricultures et politiques environnementales
"De toute évidence les services publics sont à l'agonie en France. On se demande bien comment les autorités vont piloter l'adaptation au réchauffement climatique et la transition écologique dans ces conditions. Si tant est qu'elles s'y intéressent._x000D_
#France #servicepublic #climat","['évidence', 'service', 'public', 'lagonie', 'france', 'autorité', 'piloter', 'ladaptation', 'réchauffemer', 'climatique', 'écologique', 'condition', 'sy', 'intéressentx000d', 'france', 'servicepublic', 'climat']",2023-01-04,Thème 13,Politique énergétique en Allemagne,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Et si la boulangerie devient ""Association pour la promotion de la transition écologique et démocratique de la baguette européenne à col roulé"", elle bénéficie du tarif vert, moins cher que le bleu ?","['boulangerie', 'devenir', 'association', 'promotion', 'écologique', 'démocratique', 'baguette', 'européen', 'col', 'rouler', 'bénéficier', 'tarif', 'vert', 'bleu']",2023-01-04,Thème 0,Politique énergétique et environnementale,Thème 14,Agricultures et politiques environnementales
